heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
MSI Radeon 6600,2250,Radeon RX 6600 8 GB,AMD,6600,,6600,https://www.finn.no/bap/forsale/ad.html?finnkode=370405331
Geforce RTX 3060 12G,3500,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,,rtx 3060,https://www.finn.no/bap/forsale/ad.html?finnkode=369463637
Gigabyte Geforce GTX 1080 WINDFORCE OC 8GB,1500,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,8,gtx 1080,https://www.finn.no/recommerce/forsale/item/375712742
RX 6950 XT || som ny,6000,Radeon RX 6950 XT 16 GB,AMD,rx 6950 xt,,rx 6950 xt,https://www.finn.no/recommerce/forsale/item/376118576
DELL Precision T7400 workstation,1500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/325180947
Gaming PC,2300,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376163118
Sapphire Pure Radeon RX 7700 XT 12GB - Grafikkort,4500,Radeon RX 7700 XT 12 GB,AMD,rx 7700 xt,12,rx 7700 xt,https://www.finn.no/recommerce/forsale/item/374506695
PCSpecialist Prime 50 R5-55,5500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375755618
Mac fra 2011,1000,Unknown,,2011,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369963339
"Retro Win xp spill pc, Amd 64X2 4400, 3gb minne ++ med skjerm",1000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376073093
GeForce RTX™ 3060 Ti GAMING OC PRO 8G (rev. 2.0),3500,GeForce RTX 3060 Ti 8 GB,NVIDIA,3060 ti,,3060 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=371725136
2 stk RTX 2070 Super og 1 stk RTX 2080,1900,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,https://www.finn.no/recommerce/forsale/item/376184828
Nvidia Graffikkort RTX 2060S 8GB!,2200,GeForce RTX 2060 SUPER 8 GB,NVIDIA,rtx 2060 super,8,rtx 2060 super,https://www.finn.no/recommerce/forsale/item/333070541
Gaming PC,2700,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376217470
RTX geforce 3070 gpu! Salg!!,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/bap/forsale/ad.html?finnkode=373201615
ASUS Radeon RX6600XT DUAL OC,3750,Radeon RX 6600 XT 8 GB,AMD,rx 6600 xt,,rx 6600 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=367271764
RTX 2070 super! Salg!,2500,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,https://www.finn.no/bap/forsale/ad.html?finnkode=373202303
Pc,2100,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=351754249
Gaming pc,3500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375892558
God stasjonær pc,6300,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374955659
"Apple iMac 21.5"" -  Late 2015",2500,Unknown,,2015,,,https://www.finn.no/recommerce/forsale/item/376217340
"ASUS GeForce ROG STRIX 2080 SUPER OC, 8Gb",2799,GeForce RTX 2080 SUPER 8 GB,NVIDIA,2080 super,8,2080 super,https://www.finn.no/bap/forsale/ad.html?finnkode=366982826
ASUS Radeon RX 6650 XT Dual OC,2800,Radeon RX 6650 XT 8 GB,AMD,rx 6650 xt,,rx 6650 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=367667852
