heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
GeForce RTX 2060 Super 8GB,2000,GeForce RTX 2060 SUPER 8 GB,NVIDIA,rtx 2060 super,8,rtx 2060 super,1,,https://www.finn.no/recommerce/forsale/item/376792329
MSI Geforce gtx 1080ti,2000,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,,gtx 1080 ti,1,,https://www.finn.no/recommerce/forsale/item/375744279
Nvidia Geforce RTX 3060 TI,3200,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,1,,https://www.finn.no/recommerce/forsale/item/374506297
Radeon RX 6600 - 8 GB,2700,Radeon RX 6600 8 GB,AMD,rx 6600,8,rx 6600,1,,https://www.finn.no/recommerce/forsale/item/374523080
Sett for Mining Rig,1400,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=342919998
Gtx880m 4gb og kjøleplate for asus g750 serien,1000,Unknown,NVIDIA,,4,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=237636385
RTX 3080 HP 10GB,4650,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,1,,https://www.finn.no/recommerce/forsale/item/375377822
PNY NVIDIA RTX  A2000 6GB,2800,Unknown,NVIDIA,,6,,0,,https://www.finn.no/recommerce/forsale/item/374702676
CPU hovedkort osv selges,1500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/376052489
ASUS DUAL GeForce RTX 4060 TI OC,5700,GeForce RTX 4060 Ti 8 GB,NVIDIA,rtx 4060 ti,,rtx 4060 ti,1,,https://www.finn.no/recommerce/forsale/item/375986952
Mac Pro 4.1 / 5.1,3999,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/344220591
KUPP!!! | Mining Rig | 8 GPU | Komplett Sett,6000,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/355554737
GeForce RTX 3060 Ghost,2750,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,,rtx 3060,1,,https://www.finn.no/recommerce/forsale/item/373613731
